id_client,nom,prenom,email,date_naissance,sexe,ville,telephone,date_inscription,canal_acquisition
C0429,Hajji,Tariq,tariq.hajji16@yahoo.fr,1978-05-21,male,Oujda,0634476263,2022-10-09,tiktok
C0498,Lahlou,Saad,saad.lahlou33@hotmail.com,1995-05-16,Femme,oujda,0543928404,2021-11-05,bouche_a_oreille
C0604,Bouzidi,Tariq,tariq.bouzidi46@outlook.com,1981-10-01,female,Marrakech,0712765289,2021-12-21,google
C0011,Sefrioui,Fatima,fatima.sefrioui1@gmail.com,1993-06-29,h,Oujda,0503105183,2021-03-27,bouche_a_oreille
C0889,Chraibi,Zineb,zineb.chraibi73@gmail.com,1995-04-06,male,Tanger,0659446333,2023-09-14,tiktok
C0671,Berrada,Omar,omar.berrada30@gmail.com,1968-06-01,1,AGADIR,0628795083,2020-04-11,instagram
C0938,Tahiri,Mohammed,mohammed.tahiri25@hotmail.com,1968-05-26,0,rabat,0669694439,2022-03-06,instagram
C0929,Benali,Imane,imane.benali44@yahoo.fr,2004-01-31,f,Marrakech,0583750566,2020-10-25,instagram
C0558,Squalli,Loubna,loubna.squalli63@gmail.com,2005-08-29,h,rabat,0697545105,2023-06-19,direct
C0637,Sefrioui,Mohammed,mohammed.sefrioui16@outlook.com,1963-11-10,h,kenitra,0795410727,2023-06-08,direct
C0834,Mansouri,Tariq,tariq.mansouri59@hotmail.com,1998-07-01,f,kenitra,0519102312,2023-07-06,instagram
C0372,Alaoui,Othmane,othmane.alaoui27@outlook.com,1966-10-29,m,Casablanca,0797010822,2021-08-06,instagram
C0835,Tahiri,Mohammed,mohammed.tahiri50@hotmail.com,1995-04-01,0,AGADIR,0537379274,2020-06-11,direct
C0583,Mansouri,Khadija,khadija.mansouri54@outlook.com,1966-12-29,1,MARRAKECH,0578836196,2022-02-23,tiktok
C0334,Naciri,Houda,houda.naciri24@gmail.com,1971-06-26,1,MEKNES,0750461735,2022-03-08,email_marketing
C0946,Naciri,Rachid,rachid.naciri62@yahoo.fr,1971-11-09,male,Casablanca,0646449369,2020-01-03,tiktok
C0211,Benali,Hassan,hassan.benali28@yahoo.fr,2005-01-30,male,AGADIR,0634680072,2023-03-17,direct
C1020,Mansouri,Imane,imane.mansouri6@outlook.com,2027-04-18,female,oujda,0769998808,2022-04-09,instagram
C0458,Naciri,Saad,saad.naciri71@hotmail.com,1995-03-10,Homme,Marrakech,0720089434,2022-11-13,direct
C0089,Mrabet,Hamza,hamza.mrabet62@hotmail.com,1992-03-31,1,MARRAKECH,0681412478,2023-08-06,google
C0880,Fassi,Youssef,youssef.fassi66@gmail.com,2027-04-18,h,marrakech,0636534606,2022-09-05,instagram
C0351,Tazi,Sanaa,sanaa.tazi7@hotmail.com,1970-11-24,h,MARRAKECH,0677879565,2023-06-09,bouche_a_oreille
C0219,Tahiri,Sanaa,sanaa.tahiri1@gmail.com,1980-08-28,male,MARRAKECH,0650583003,2022-02-24,google
C0414,Sefrioui,Houda,houda.sefrioui63@gmail.com,1987-07-09,male,Oujda,0535785294,2020-07-19,bouche_a_oreille
C0278,Cherkaoui,Sara,sara.cherkaoui88@yahoo.fr,1972-02-24,1,Meknes,0643866322,2023-03-25,email_marketing
C0960,Mrabet,Fatima,fatima.mrabet41@,2027-04-18,m,agadir,0684442182,2021-12-24,tiktok
C0926,Mansouri,Hajar,hajar.mansouri2@outlook.com,1973-05-31,1,TANGER,0737012424,2021-02-14,direct
C0214,Fassi,Loubna,loubna.fassi52@hotmail.com,1993-03-28,h,agadir,0607446660,2023-05-13,tiktok
C0097,Bouzidi,Mehdi,mehdi.bouzidi94@outlook.com,1974-12-16,Femme,TANGER,0792845115,2020-06-18,direct
C0079,Tahiri,Aicha,aicha.tahiri52@gmail.com,1992-09-15,f,Fes,0753521818,2023-04-21,tiktok
C0704,Alaoui,Aicha,aicha.alaoui45@yahoo.fr,1970-02-11,female,rabat,0503446945,2020-05-16,tiktok
C0137,Sefrioui,Fatima,fatima.sefrioui34@outlook.com,1961-02-19,0,Rabat,0635369378,2020-02-03,direct
C0209,Hajji,Imane,imane.hajji4@yahoo.fr,1999-07-31,male,CASA,0603070534,2023-03-10,bouche_a_oreille
C0523,Sefrioui,Sanaa,sanaa.sefrioui50@yahoo.fr,1982-04-10,f,CASA,0745875066,2020-09-11,direct
C0838,Bouzidi,Ahmed,ahmed.bouzidi97@outlook.com,1962-04-04,Femme,TANGER,0570159591,2023-06-23,tiktok
C0733,Tahiri,Nabil,nabil.tahiri39@yahoo.fr,1995-07-08,f,Oujda,0659736424,2021-06-18,tiktok
C0569,Fassi,Mohammed,mohammed.fassi33@hotmail.com,1981-07-22,0,meknes,0771617688,2023-12-28,instagram
C0261,Fassi,Khadija,khadija.fassi34@yahoo.fr,1968-05-30,1,oujda,0557991366,2022-11-12,google
C0468,Sefrioui,Omar,omar.sefrioui42@outlook.com,2002-07-25,female,marrakech,0670562608,2023-05-27,bouche_a_oreille
C0040,Tahiri,Tariq,tariq.tahiri61@outlook.com,2027-04-18,female,Fès,0614363495,2023-11-15,email_marketing
C0031,Naciri,Ghita,ghita.naciri50@yahoo.fr,2000-02-07,f,Oujda,0616658760,2021-04-18,google
C0698,Fassi,Nadia,nadia.fassi27@outlook.com,2001-07-11,f,marrakech,0612697893,2020-12-12,instagram
C0452,Benjelloun,Nadia,nadia.benjelloun89@gmail.com,1972-12-16,m,Oujda,0677119918,2020-11-05,instagram
C0055,Alaoui,Mehdi,mehdi.alaoui13@outlook.com,1975-07-03,1,TNG,0570262174,2021-11-10,bouche_a_oreille
C0024,Sefrioui,Zineb,zineb.sefrioui56@hotmail.com,2006-02-27,Homme,oujda,0769816934,2023-05-06,instagram
C1008,Cherkaoui,Loubna,loubna.cherkaoui84@hotmail.com,2003-05-23,0,tanger,0636497189,2021-07-24,google
C0114,Chraibi,Sanaa,sanaa.chraibi81@gmail.com,1970-11-26,male,Agadir,0749930972,2023-11-10,tiktok
C0110,Lahlou,Loubna,loubna.lahlou64@outlook.com,2005-03-29,Femme,Rabat,0501624565,2021-07-30,instagram
C0507,Sefrioui,Tariq,tariq.sefrioui31@yahoo.fr,1982-05-07,f,Casablanca,0584137681,2020-03-30,bouche_a_oreille
C0967,Kettani,Mohammed,mohammed.kettani93@outlook.com,1963-02-27,male,CASA,0644170646,2022-01-24,google
C0950,Mrabet,Laila,laila.mrabet6outlook.com,1890-01-01,h,Oujda,0782073651,2021-05-08,instagram
C0004,Kettani,Nabil,nabil.kettani82@hotmail.com,1983-12-08,f,Casablanca,0753419283,2022-07-17,google
C0276,Alaoui,Hajar,hajar.alaoui23@outlook.com,1985-10-09,h,TNG,0587500369,2023-11-06,instagram
C0657,Naciri,Aicha,aicha.naciri40@outlook.com,1974-06-23,0,Agadir,0681974005,2022-10-21,email_marketing
C0785,Filali,Ilias,ilias.filali20@yahoo.fr,1961-07-09,f,Fès,0645018481,2023-10-08,direct
C0855,Benjelloun,Fatima,fatima.benjelloun22@outlook.com,1970-10-26,f,CASA,0680944858,2022-11-08,email_marketing
C0760,Lahlou,Hamza,hamza.lahlou10@yahoo.fr,2027-04-18,h,Casablanca,0779706734,2020-08-06,tiktok
C0797,Benhima,Imane,imane.benhima47@yahoo.fr,1991-09-19,Femme,RABAT,0551253892,2022-01-28,instagram
C1029,Sefrioui,Mehdi,mehdi.sefrioui32@yahoo.fr,1966-11-30,1,Tanger,0674767753,2022-03-22,email_marketing
C0395,Benjelloun,Amine,amine.benjelloun81@outlook.com,1971-09-21,female,Oujda,0658904290,2021-06-12,google
C0487,Mrabet,Sara,sara.mrabet67@yahoo.fr,1989-10-21,Femme,tanger,0688065333,2020-01-17,instagram
C0615,Lahlou,Meryem,meryem.lahlou84@hotmail.com,1985-05-01,f,Fès,0576863423,2023-02-03,direct
C0878,Tazi,Meryem,meryem.tazi72@gmail.com,1970-10-03,1,casa,0624260508,2020-08-25,instagram
C0175,Tazi,Hassan,hassan.tazi20hotmail.com,2002-08-06,Homme,Fes,0514630316,2021-02-20,instagram
C0918,Tazi,Mohammed,mohammed.tazi14@outlook.com,1971-03-03,m,Tnja,0614559376,2020-10-29,email_marketing
C0059,Squalli,Khadija,khadija.squalli39@yahoo.fr,1963-12-27,male,Fes,0713695944,2022-07-24,instagram
C0266,Benjelloun,Zineb,zineb.benjelloun40@hotmail.com,1972-08-27,h,Kenitra,0562137213,2021-06-03,tiktok
C0064,Squalli,Mohammed,mohammed.squalli69@yahoo.fr,2001-03-06,female,Fes,0758692617,2021-04-25,tiktok
C0790,Cherkaoui,Soukaina,soukaina.cherkaoui96@outlook.com,2005-10-01,h,agadir,0639205146,2023-07-10,instagram
C0262,Lahlou,Mohammed,mohammed.lahlou20@gmail.com,1975-05-16,h,Casablanca,0799088117,2022-05-09,direct
C0101,Mrabet,Loubna,loubna.mrabet16@yahoo.fr,1963-08-26,Homme,MEKNES,0672715518,2021-02-13,tiktok
C1047,Benhima,Hamza,hamza.benhima65hotmail.com,1973-09-30,h,Kenitra,0507938841,2020-02-03,google
C0300,Naciri,Rachid,rachid.naciri79hotmail.com,1890-01-01,male,Marrakech,0614138113,2020-04-29,tiktok
C0616,Chraibi,Houda,houda.chraibi56@outlook.com,1998-01-10,Homme,FES,0545919663,2022-09-26,tiktok
C0179,Alaoui,Youssef,youssef.alaoui29@hotmail.com,1962-06-03,h,casa,0754195180,2022-05-08,google
C0934,Tazi,Zineb,zineb.tazi13@hotmail.com,1974-06-27,1,TNG,0645512939,2023-05-12,instagram
C0779,Cherkaoui,Hajar,hajar.cherkaoui99@hotmail.com,1960-12-12,f,RABAT,0645787158,2023-09-04,bouche_a_oreille
C0140,Hajji,Mohammed,mohammed.hajji65@outlook.com,1973-12-06,Homme,kenitra,0611823398,2020-02-05,bouche_a_oreille
C0804,Berrada,Aicha,aicha.berrada42@outlook.com,1975-04-25,m,Rabat,0699512397,2020-01-10,google
C0169,Tazi,Mehdi,mehdi.tazi88@outlook.com,1971-01-07,1,Tanger,0651627136,2022-11-29,instagram
C0067,Naciri,Youssef,youssef.naciri4@yahoo.fr,1997-02-28,Homme,Tanger,0739502402,2023-09-15,direct
C0257,Filali,Karim,karim.filali67@hotmail.com,1970-06-02,Femme,Fes,0686557790,2020-06-08,tiktok
C0068,Chraibi,Hajar,hajar.chraibi66@gmail.com,1977-09-13,f,Fès,0539084700,2022-01-11,email_marketing
C1028,Fassi,Saad,saad.fassi87@yahoo.fr,1970-10-31,male,FES,0541869656,2023-01-20,direct
C0013,Chraibi,Othmane,othmane.chraibi32@yahoo.fr,1982-11-07,m,CASA,0572624731,2020-08-11,email_marketing
C0532,Mansouri,Mohammed,mohammed.mansouri95@hotmail.com,1967-10-31,m,agadir,0739769156,2020-04-03,email_marketing
C0320,Mansouri,Imane,imane.mansouri6@outlook.com,2027-04-18,female,oujda,0769998808,2022-04-09,instagram
C0985,Filali,Zineb,zineb.filali83@outlook.com,1978-09-29,f,Casablanca,0534838935,2020-03-03,direct
C0867,Naciri,Hassan,hassan.naciri91@hotmail.com,1961-01-08,1,fes,0655868639,2023-11-01,bouche_a_oreille
C0577,Chraibi,Amine,amine.chraibi2@gmail.com,1984-04-18,male,Tnja,0614290018,2020-08-13,direct
C0335,Hajji,Loubna,loubna.hajji5@yahoo.fr,1997-02-27,Homme,TANGER,0780782357,2022-02-05,direct
C0287,Benali,Hajar,hajar.benali99@outlook.com,1977-11-28,female,kenitra,0793085368,2020-01-19,email_marketing
C0912,Kettani,Aicha,aicha.kettani9@hotmail.com,1968-08-29,1,meknes,0666626705,2023-09-19,bouche_a_oreille
C0324,Hajji,Imane,imane.hajji6@yahoo.fr,1983-07-22,1,RABAT,0522220644,2022-02-18,direct
C0891,Bouzidi,Laila,laila.bouzidi29@yahoo.fr,2001-12-19,f,Fès,0522341034,2022-04-12,email_marketing
C0537,Filali,Nabil,nabil.filali17@yahoo.fr,1987-10-24,male,TNG,0708752437,2023-10-23,direct
C0693,Naciri,Youssef,youssef.naciri21@hotmail.com,1963-01-07,male,RABAT,0738300081,2021-08-17,tiktok
C0650,Hajji,Rachid,rachid.hajji84yahoo.fr,1890-01-01,male,rabat,0595724461,2020-12-23,direct
C0529,Kettani,Amine,amine.kettani2@gmail.com,1976-05-21,female,Casablanca,0690138069,2020-07-25,tiktok
C0514,Cherkaoui,Loubna,loubna.cherkaoui84@hotmail.com,2003-05-23,0,tanger,0636497189,2021-07-24,google
C0586,Fassi,Mohammed,mohammed.fassi10@gmail.com,1999-03-16,Femme,marrakech,0722728476,2021-05-16,direct
C0003,Benjelloun,Rachid,rachid.benjelloun16@outlook.com,2005-08-31,Homme,TANGER,0549593103,2023-01-03,bouche_a_oreille
C0446,Cherkaoui,Hassan,hassan.cherkaoui15@yahoo.fr,1977-09-26,1,meknes,0677707933,2020-02-14,bouche_a_oreille
C0238,Chraibi,Saad,saad.chraibi86@gmail.com,1984-02-14,m,CASA,0724420438,2020-04-18,instagram
C0496,Benjelloun,Hajar,hajar.benjelloun66@hotmail.com,1971-04-11,0,FES,0776657546,2022-08-10,instagram
C0782,Kettani,Hajar,hajar.kettani13@yahoo.fr,1997-10-16,h,AGADIR,0593289634,2020-11-21,instagram
C0328,Sefrioui,Mehdi,mehdi.sefrioui42@hotmail.com,2006-03-07,Femme,meknes,0716814721,2021-09-04,direct
C0548,Lahlou,Hassan,hassan.lahlou76@hotmail.com,1969-07-24,1,Casablanca,0696184462,2021-03-18,email_marketing
C0859,Kettani,Laila,laila.kettani4@gmail.com,1969-03-09,f,MEKNES,0640476921,2020-01-01,instagram
C0530,Bouzidi,Ghita,ghita.bouzidi44@hotmail.com,1986-06-23,female,agadir,0753566905,2022-05-29,bouche_a_oreille
C0347,Filali,Imane,imane.filali28@yahoo.fr,1983-09-19,male,fes,0638656242,2023-01-21,google
C1018,Benhima,Ghita,ghita.benhima41@hotmail.com,1969-08-13,Homme,casa,0535435864,2021-04-11,bouche_a_oreille
C0584,Tazi,Tariq,tariq.tazi3@hotmail.com,1985-04-27,0,MARRAKECH,0721055247,2021-02-20,google
C0594,Sefrioui,Youssef,youssef.sefrioui99@hotmail.com,2002-04-17,female,MARRAKECH,0671752421,2020-10-19,bouche_a_oreille
C0588,Kettani,Imane,imane.kettani67@outlook.com,1997-12-07,male,Tnja,0536903628,2020-07-07,tiktok
C0309,Tazi,Omar,omar.tazi74@gmail.com,1980-11-15,Homme,TNG,0566553559,2023-11-03,direct
C1040,Benali,Sara,sara.benali30@,1969-08-21,m,casa,0539421047,2021-08-09,instagram
C0994,Tazi,Loubna,loubna.tazi26@hotmail.com,1987-10-27,1,Fes,0678170321,2020-12-16,instagram
C0232,Hajji,Ghita,ghita.hajji59@hotmail.com,1994-05-26,h,rabat,0637589975,2023-10-07,direct
C0630,Tahiri,Hajar,hajar.tahiri32@,1965-04-08,f,casa,0600943181,2023-08-16,bouche_a_oreille
C0602,Mansouri,Sanaa,sanaa.mansouri64@hotmail.com,1998-09-03,m,TNG,0564807279,2020-10-29,instagram
C0663,Tazi,Othmane,othmane.tazi64@hotmail.com,1991-07-23,f,meknes,0674584384,2021-02-25,bouche_a_oreille
C1010,Sefrioui,Fatima,fatima.sefrioui34@outlook.com,1961-02-19,0,Rabat,0635369378,2020-02-03,direct
C0916,Squalli,Khadija,khadija.squalli18@gmail.com,2003-06-15,h,Fès,0542817934,2021-08-05,instagram
C0315,Benhima,Othmane,othmane.benhima29@yahoo.fr,2006-07-13,male,RABAT,0721689363,2021-07-27,tiktok
C0107,Kettani,Meryem,meryem.kettani89@gmail.com,1988-09-07,male,Casablanca,0767735925,2020-05-29,direct
C0824,Filali,Othmane,othmane.filali4@yahoo.fr,1981-01-27,h,Fes,0524926932,2022-06-26,email_marketing
C0056,Tazi,Sanaa,sanaa.tazi41@outlook.com,1964-08-03,Femme,MEKNES,0509134316,2022-02-17,instagram
C0121,Bouzidi,Laila,laila.bouzidi2@hotmail.com,1960-12-07,1,marrakech,0515478872,2020-03-17,tiktok
C0371,Hajji,Ahmed,ahmed.hajji65@yahoo.fr,1968-10-29,f,Fès,0534031277,2023-01-10,google
C0026,Squalli,Imane,imane.squalli86@outlook.com,2000-01-17,h,agadir,0529946804,2022-05-11,bouche_a_oreille
C0073,Naciri,Rachid,rachid.naciri29@outlook.com,2000-12-03,Femme,MEKNES,0599809402,2023-03-21,bouche_a_oreille
C1021,Tahiri,Laila,laila.tahiri10hotmail.com,1890-01-01,male,TNG,0518615155,2021-05-21,bouche_a_oreille
C0045,Sefrioui,Soukaina,soukaina.sefrioui8@gmail.com,1988-07-10,male,Kenitra,0634123281,2023-06-25,google
C0297,Benali,Meryem,meryem.benali80@hotmail.com,1984-01-25,h,Kenitra,0535186387,2020-02-08,tiktok
C0329,Hajji,Nadia,nadia.hajji27@gmail.com,1975-01-14,male,TNG,0581794695,2023-11-26,bouche_a_oreille
C0248,Benali,Houda,houda.benali18@outlook.com,1997-07-26,female,kenitra,0542450882,2021-03-26,instagram
C0337,Alaoui,Meryem,meryem.alaoui3@hotmail.com,1974-05-29,f,AGADIR,0653344857,2021-10-01,direct
C0352,Alaoui,Zineb,zineb.alaoui8@outlook.com,1961-07-20,Homme,marrakech,0690490471,2021-06-17,google
C0362,Filali,Ghita,ghita.filali62@outlook.com,1975-05-04,m,Fes,0518306719,2022-10-01,tiktok
C1002,Bouzidi,Hajar,hajar.bouzidi49@gmail.com,1983-07-28,0,TNG,0733194226,2020-09-26,tiktok
C0961,Bouzidi,Sara,sara.bouzidi98@hotmail.com,2004-02-06,h,Marrakech,0505670867,2020-12-25,instagram
C0421,Fassi,Karim,karim.fassi16@hotmail.com,2000-07-06,0,fes,0639155963,2022-10-21,email_marketing
C0382,Tahiri,Hajar,hajar.tahiri45@outlook.com,2005-03-22,Homme,fes,0581788479,2022-02-02,bouche_a_oreille
C0695,Hajji,Ahmed,ahmed.hajji78@yahoo.fr,2007-04-16,male,TNG,0596394568,2023-01-14,direct
C0540,Hajji,Aicha,aicha.hajji90@,1989-05-06,Homme,TNG,0659047292,2021-02-03,email_marketing
C0450,Lahlou,Amine,amine.lahlou62yahoo.fr,1890-01-01,Homme,Casablanca,0629716743,2023-09-28,google
C0623,Tahiri,Rachid,rachid.tahiri93@hotmail.com,1998-03-11,0,Meknes,0500401041,2021-01-26,bouche_a_oreille
C0210,Filali,Hajar,hajar.filali48@,1965-04-18,f,Agadir,0727985524,2021-05-10,direct
C0555,Bouzidi,Hajar,hajar.bouzidi94@yahoo.fr,1980-05-18,m,fes,0788160930,2022-11-07,direct
C1013,Sefrioui,Mohammed,mohammed.sefrioui16@outlook.com,1963-11-10,h,kenitra,0795410727,2023-06-08,direct
C0482,Benali,Houda,houda.benali61@yahoo.fr,1991-12-22,Femme,RABAT,0658319971,2020-08-08,direct
C0433,Mansouri,Ghita,ghita.mansouri91@outlook.com,2000-03-10,female,Tnja,0715027456,2021-10-11,bouche_a_oreille
C0627,Benjelloun,Ilias,ilias.benjelloun26@outlook.com,1979-06-17,male,CASA,0646249127,2022-11-17,instagram
C0061,Fassi,Imane,imane.fassi23@yahoo.fr,1989-11-11,f,Tnja,0558842474,2022-04-30,direct
C0622,Mansouri,Saad,saad.mansouri39@outlook.com,1969-04-08,female,fes,0515910300,2022-03-16,google
C0756,Tahiri,Ahmed,ahmed.tahiri82@yahoo.fr,2001-09-10,Homme,CASA,0633484587,2021-12-02,instagram
C0093,Fassi,Tariq,tariq.fassi46@yahoo.fr,1981-04-29,Homme,marrakech,0721851888,2023-06-13,tiktok
C0902,Tazi,Omar,omar.tazi53@outlook.com,1989-02-27,Femme,Fes,0750573036,2023-05-22,direct
C0463,Bouzidi,Mehdi,mehdi.bouzidi48@gmail.com,1961-02-13,m,Agadir,0711594082,2023-02-18,instagram
C0667,Benali,Hamza,hamza.benali55@gmail.com,1961-06-20,Femme,kenitra,0686487699,2022-06-07,tiktok
C0977,Hajji,Zineb,zineb.hajji81@gmail.com,1982-04-08,h,Kenitra,0737666081,2022-01-21,instagram
C0478,Bouzidi,Hassan,hassan.bouzidi51@gmail.com,2008-01-13,0,MEKNES,0798728399,2023-07-31,tiktok
